['Yuki Desirie', 'POSITION: RW', 'OVERALL: 99']
['Niasha Carie', 'POSITION: RW', 'OVERALL: 91']
['Kery Wafa', 'POSITION: D', 'OVERALL: 91']
['Joseluis Tena', 'POSITION: LW', 'OVERALL: 91']
['Jetta Carlisa', 'POSITION: G', 'OVERALL: 91']
['Gene Sherod', 'POSITION: G', 'OVERALL: 91']
['Florine Dax', 'POSITION: D', 'OVERALL: 91']
['Femi Tonyetta', 'POSITION: LW', 'OVERALL: 91']
['Erroll Macey', 'POSITION: LW', 'OVERALL: 91']
['Dannette Bhavin', 'POSITION: C', 'OVERALL: 91']
['Che Prince', 'POSITION: D', 'OVERALL: 91']
['Carra Jillean', 'POSITION: D', 'OVERALL: 91']
['Camden Unknown', 'POSITION: RW', 'OVERALL: 91']
['Britany Krissy', 'POSITION: G', 'OVERALL: 91']
['Bess Caycee', 'POSITION: LW', 'OVERALL: 91']
['Tyrelle Kosha', 'POSITION: LW', 'OVERALL: 90']
['Tamarah Nanci', 'POSITION: RW', 'OVERALL: 90']
['Suresh Toure', 'POSITION: RW', 'OVERALL: 90']
['Shomari Dyshawn', 'POSITION: C', 'OVERALL: 90']
['Shavawn Roxan', 'POSITION: RW', 'OVERALL: 90']
['Oona Delonna', 'POSITION: RW', 'OVERALL: 90']
['Mendel Loreen', 'POSITION: G', 'OVERALL: 90']
['Maryclare Junie', 'POSITION: D', 'OVERALL: 90']
['Maryam Chandell', 'POSITION: D', 'OVERALL: 90']
['Makoto Linnea', 'POSITION: LW', 'OVERALL: 90']
['Lillianna Camdon', 'POSITION: C', 'OVERALL: 90']
['Lancelot Shantay', 'POSITION: C', 'OVERALL: 90']
['Jolean Stanford', 'POSITION: G', 'OVERALL: 90']
['Jalene Lucus', 'POSITION: LW', 'OVERALL: 90']
['Jackeline Brieanna', 'POSITION: D', 'OVERALL: 90']
['Emmanuella Monick', 'POSITION: D', 'OVERALL: 90']
['Derrelle Lashara', 'POSITION: G', 'OVERALL: 90']
['Corvette Lakresha', 'POSITION: LW', 'OVERALL: 90']
['Carrissa Shakeria', 'POSITION: D', 'OVERALL: 90']
['Bernell Lesette', 'POSITION: G', 'OVERALL: 90']
['Vineet Ashanti', 'POSITION: LW', 'OVERALL: 89']
['Shaterica Daneen', 'POSITION: LW', 'OVERALL: 89']
['Rockey Carolyne', 'POSITION: D', 'OVERALL: 89']
['Rocio Shawnta', 'POSITION: LW', 'OVERALL: 89']
['Rashee Macall', 'POSITION: LW', 'OVERALL: 89']
['Pearson Demetrious', 'POSITION: RW', 'OVERALL: 89']
['Melanie Tonga', 'POSITION: RW', 'OVERALL: 89']
['Latorra Selicia', 'POSITION: G', 'OVERALL: 89']
['Larsen Terasha', 'POSITION: D', 'OVERALL: 89']
['Keion Terrence', 'POSITION: G', 'OVERALL: 89']
['Juvencio Yulonda', 'POSITION: C', 'OVERALL: 89']
['Dala Emili', 'POSITION: D', 'OVERALL: 89']
['Christoper Alec', 'POSITION: RW', 'OVERALL: 89']
['Briane Savahna', 'POSITION: D', 'OVERALL: 89']
['Parish Kaysee', 'POSITION: D', 'OVERALL: 88']
['Monya Denesha', 'POSITION: C', 'OVERALL: 88']
['Lacora Ronel', 'POSITION: G', 'OVERALL: 88']
['Jovita Demetrio', 'POSITION: C', 'OVERALL: 88']
['Jocob Estelle', 'POSITION: LW', 'OVERALL: 88']
['Illana Giancarlo', 'POSITION: D', 'OVERALL: 88']
['Geovanna Nils', 'POSITION: D', 'OVERALL: 88']
['Dezaree Niko', 'POSITION: D', 'OVERALL: 88']
['Cornelious Jovany', 'POSITION: D', 'OVERALL: 88']
['Chelise Kile', 'POSITION: LW', 'OVERALL: 88']
['Caylan Andreal', 'POSITION: G', 'OVERALL: 88']
['Carolynn Alaa', 'POSITION: D', 'OVERALL: 88']
['Bridgett Valisa', 'POSITION: RW', 'OVERALL: 88']
['Benjaman Maranatha', 'POSITION: LW', 'OVERALL: 88']
['Bahar Ellsworth', 'POSITION: G', 'OVERALL: 88']
['Ania Deanndra', 'POSITION: C', 'OVERALL: 88']
['Amberly Karleigh', 'POSITION: D', 'OVERALL: 88']
['Tyara Breton', 'POSITION: RW', 'OVERALL: 87']
['Shunta Mehgan', 'POSITION: C', 'OVERALL: 87']
['Shirlene Virgina', 'POSITION: RW', 'OVERALL: 87']
['Roselle Hansen', 'POSITION: LW', 'OVERALL: 87']
['Ronnita Ling', 'POSITION: D', 'OVERALL: 87']
['Raneisha Khara', 'POSITION: D', 'OVERALL: 87']
['Lekia Jazmyne', 'POSITION: G', 'OVERALL: 87']
['Kenney Jamye', 'POSITION: RW', 'OVERALL: 87']
['Jesselee Myesha', 'POSITION: LW', 'OVERALL: 87']
['Gaelen Meagen', 'POSITION: RW', 'OVERALL: 87']
['Elio Leeland', 'POSITION: LW', 'OVERALL: 87']
['Destini Kaylan', 'POSITION: LW', 'OVERALL: 87']
['Dary Yasmina', 'POSITION: D', 'OVERALL: 87']
['Carlynn Deborah', 'POSITION: D', 'OVERALL: 87']
['Twyla Kinisha', 'POSITION: D', 'OVERALL: 86']
['Tonisha Belen', 'POSITION: G', 'OVERALL: 86']
['Nehemiah Berlinda', 'POSITION: D', 'OVERALL: 86']
['Latrease Kristiann', 'POSITION: D', 'OVERALL: 86']
['Lastarr Trapper', 'POSITION: D', 'OVERALL: 86']
['Lagina Patrizia', 'POSITION: G', 'OVERALL: 86']
['Konstance Rio', 'POSITION: RW', 'OVERALL: 86']
['Karla Leobardo', 'POSITION: RW', 'OVERALL: 86']
['Kamie Linnie', 'POSITION: G', 'OVERALL: 86']
['Johnnathan Dandrea', 'POSITION: C', 'OVERALL: 86']
['Jenefer Ashira', 'POSITION: LW', 'OVERALL: 86']
['Javier Dat', 'POSITION: RW', 'OVERALL: 86']
['Janneth Ysenia', 'POSITION: G', 'OVERALL: 86']
['Fue Deepak', 'POSITION: G', 'OVERALL: 86']
['Dimitrius Merry', 'POSITION: D', 'OVERALL: 86']
['Calvina Jara', 'POSITION: G', 'OVERALL: 86']
['Zubair Farshad', 'POSITION: D', 'OVERALL: 85']
['Yiannis Sherilyn', 'POSITION: D', 'OVERALL: 85']
['Virginia Friedrich', 'POSITION: G', 'OVERALL: 85']
['Una Anothony', 'POSITION: LW', 'OVERALL: 85']
['Shauntell Rhiana', 'POSITION: C', 'OVERALL: 85']
['San Laketra', 'POSITION: G', 'OVERALL: 85']
['Rhoda Su', 'POSITION: C', 'OVERALL: 85']
['Quenesha Sheila', 'POSITION: G', 'OVERALL: 85']
['Lathisa Trae', 'POSITION: LW', 'OVERALL: 85']
['Kila Shania', 'POSITION: C', 'OVERALL: 85']
['Ivory Michae', 'POSITION: C', 'OVERALL: 85']
['Isaia Neha', 'POSITION: D', 'OVERALL: 85']
['Francine Tyrie', 'POSITION: D', 'OVERALL: 85']
['Chirstopher Semone', 'POSITION: G', 'OVERALL: 85']
['Abdulla Eriko', 'POSITION: D', 'OVERALL: 85']
['Teirra Caris', 'POSITION: RW', 'OVERALL: 84']
['Tara Carol', 'POSITION: C', 'OVERALL: 84']
['Pamala Carilyn', 'POSITION: G', 'OVERALL: 84']
['Nery Quyen', 'POSITION: D', 'OVERALL: 84']
['Marco Laketra', 'POSITION: RW', 'OVERALL: 84']
['Linsdey Karisha', 'POSITION: D', 'OVERALL: 84']
['Katlynn Keryn', 'POSITION: LW', 'OVERALL: 84']
['Jeston Lindsey', 'POSITION: C', 'OVERALL: 84']
['Jency Tiani', 'POSITION: RW', 'OVERALL: 84']
['Jayce Kristjan', 'POSITION: LW', 'OVERALL: 84']
['Isauro Beaux', 'POSITION: C', 'OVERALL: 84']
['Ignatius Kassidi', 'POSITION: D', 'OVERALL: 84']
['Dillon Tanishia', 'POSITION: RW', 'OVERALL: 84']
['Denesha Louisa', 'POSITION: RW', 'OVERALL: 84']
['Darris Fitzgerald', 'POSITION: D', 'OVERALL: 84']
['Camilia Landa', 'POSITION: D', 'OVERALL: 84']
['Shaynna Jeresa', 'POSITION: LW', 'OVERALL: 83']
['Ronica Payton', 'POSITION: G', 'OVERALL: 83']
['Rahman Trinika', 'POSITION: G', 'OVERALL: 83']
['Ora Arlena', 'POSITION: RW', 'OVERALL: 83']
['Omid Kylea', 'POSITION: C', 'OVERALL: 83']
['Mitch Jemario', 'POSITION: LW', 'OVERALL: 83']
['Markise Zubin', 'POSITION: LW', 'OVERALL: 83']
['Lorin Teonna', 'POSITION: G', 'OVERALL: 83']
['Lorena Genevieve', 'POSITION: C', 'OVERALL: 83']
['Kaira Dejan', 'POSITION: G', 'OVERALL: 83']
['Javaris Sherrel', 'POSITION: D', 'OVERALL: 83']
['Ieshia Eugina', 'POSITION: D', 'OVERALL: 83']
['Donald Chantry', 'POSITION: C', 'OVERALL: 83']
['Deion Jacquiline', 'POSITION: LW', 'OVERALL: 83']
['Corwyn Rehana', 'POSITION: D', 'OVERALL: 83']
['Charlese Cisco', 'POSITION: RW', 'OVERALL: 83']
['Brandley Letizia', 'POSITION: D', 'OVERALL: 83']
['Aparna Nyasia', 'POSITION: LW', 'OVERALL: 83']
['Alixandra Kaylynn', 'POSITION: D', 'OVERALL: 83']
['Ysabel Antonyo', 'POSITION: G', 'OVERALL: 82']
['Travonne Leeandrea', 'POSITION: D', 'OVERALL: 82']
['Tannette Urias', 'POSITION: C', 'OVERALL: 82']
['Sotero Shadrach', 'POSITION: C', 'OVERALL: 82']
['Shamarr Milton', 'POSITION: C', 'OVERALL: 82']
['Rashid Keyauna', 'POSITION: G', 'OVERALL: 82']
['Rache Arianne', 'POSITION: D', 'OVERALL: 82']
['Phyllip Trebor', 'POSITION: G', 'OVERALL: 82']
['Patti Jenesa', 'POSITION: RW', 'OVERALL: 82']
['Paisley Janiel', 'POSITION: G', 'OVERALL: 82']
['Miguel Jamera', 'POSITION: G', 'OVERALL: 82']
['Loran Loria', 'POSITION: LW', 'OVERALL: 82']
['Letetia Lashell', 'POSITION: D', 'OVERALL: 82']
['Lashonda Jesika', 'POSITION: C', 'OVERALL: 82']
['Konstance Edana', 'POSITION: C', 'OVERALL: 82']
['Karina Deniece', 'POSITION: D', 'OVERALL: 82']
['Jaymee Johnanthony', 'POSITION: RW', 'OVERALL: 82']
['Jari Shantoria', 'POSITION: C', 'OVERALL: 82']
['Jamala Zanetta', 'POSITION: D', 'OVERALL: 82']
['Djuan Brayan', 'POSITION: D', 'OVERALL: 82']
['Casanova Letisha', 'POSITION: D', 'OVERALL: 82']
['Baylie Johnetta', 'POSITION: LW', 'OVERALL: 82']
['Arun Raymondo', 'POSITION: C', 'OVERALL: 82']
['Amanie Dwyane', 'POSITION: D', 'OVERALL: 82']
['Alnisa Kandace', 'POSITION: RW', 'OVERALL: 82']
['Wm Norah', 'POSITION: RW', 'OVERALL: 81']
['Ulisses Kwasi', 'POSITION: D', 'OVERALL: 81']
['Randal Cleopatra', 'POSITION: D', 'OVERALL: 81']
['Loriann Kendrell', 'POSITION: D', 'OVERALL: 81']
['Linnette Riki', 'POSITION: C', 'OVERALL: 81']
['Karra Gene', 'POSITION: D', 'OVERALL: 81']
['Kalib Silvestre', 'POSITION: G', 'OVERALL: 81']
['Hara Quindell', 'POSITION: G', 'OVERALL: 81']
['Georganne Mckayla', 'POSITION: LW', 'OVERALL: 81']
['Duwan Kendrea', 'POSITION: D', 'OVERALL: 81']
['Dearon Murray', 'POSITION: C', 'OVERALL: 81']
['Dean Torian', 'POSITION: C', 'OVERALL: 81']
['Chelia Herlinda', 'POSITION: RW', 'OVERALL: 81']
['Chassidy Larina', 'POSITION: G', 'OVERALL: 81']
['Carey Travarus', 'POSITION: D', 'OVERALL: 81']
['Allison Samyra', 'POSITION: C', 'OVERALL: 81']
['Allison Bradford', 'POSITION: LW', 'OVERALL: 81']
['Aleshia Tynell', 'POSITION: D', 'OVERALL: 81']
['Shakeitha Tocarra', 'POSITION: D', 'OVERALL: 80']
['Shakeda Alayne', 'POSITION: RW', 'OVERALL: 80']
['Rosanna Heidy', 'POSITION: RW', 'OVERALL: 80']
['Regena Mckenna', 'POSITION: D', 'OVERALL: 80']
['Raji Thelbert', 'POSITION: D', 'OVERALL: 80']
['Miranda Laycee', 'POSITION: G', 'OVERALL: 80']
['Madonna Destinie', 'POSITION: D', 'OVERALL: 80']
['Kortni Laurene', 'POSITION: LW', 'OVERALL: 80']
['Kay Erwin', 'POSITION: C', 'OVERALL: 80']
['Karleen Merritt', 'POSITION: D', 'OVERALL: 80']
['Johanne Gabrella', 'POSITION: D', 'OVERALL: 80']
['Jheri Lehi', 'POSITION: D', 'OVERALL: 80']
['Ibn Yan', 'POSITION: D', 'OVERALL: 80']
['Franci Stirling', 'POSITION: D', 'OVERALL: 80']
['Eduard Karlee', 'POSITION: LW', 'OVERALL: 80']
['Charle Tequia', 'POSITION: D', 'OVERALL: 80']
['Yong Aleida', 'POSITION: LW', 'OVERALL: 79']
['Shealene Margarite', 'POSITION: C', 'OVERALL: 79']
['Sharetha Jonisha', 'POSITION: D', 'OVERALL: 79']
['Shantrell Caitrin', 'POSITION: LW', 'OVERALL: 79']
['Ramses Janin', 'POSITION: C', 'OVERALL: 79']
['Necia Carah', 'POSITION: G', 'OVERALL: 79']
['Natricia Faye', 'POSITION: LW', 'OVERALL: 79']
['Lovely Ronee', 'POSITION: LW', 'OVERALL: 79']
['Kumiko Epifanio', 'POSITION: G', 'OVERALL: 79']
['Kevis Pernell', 'POSITION: D', 'OVERALL: 79']
['Kane Evangelos', 'POSITION: D', 'OVERALL: 79']
['Jonovan Shontaya', 'POSITION: LW', 'OVERALL: 79']
['Graceann Latroya', 'POSITION: D', 'OVERALL: 79']
['Enedina Madilyn', 'POSITION: C', 'OVERALL: 79']
['Dorrell Takiya', 'POSITION: D', 'OVERALL: 79']
['Deion Rochel', 'POSITION: D', 'OVERALL: 79']
['Chole Maury', 'POSITION: D', 'OVERALL: 79']
['Beata Scotty', 'POSITION: C', 'OVERALL: 79']
['Alixandria Isadora', 'POSITION: D', 'OVERALL: 79']
['Xia Briant', 'POSITION: RW', 'OVERALL: 78']
['Turell Neal', 'POSITION: C', 'OVERALL: 78']
['Tani Estephanie', 'POSITION: LW', 'OVERALL: 78']
['Shuntavia Enrrique', 'POSITION: D', 'OVERALL: 78']
['Sevag Charlotta', 'POSITION: D', 'OVERALL: 78']
['Megham Daphnee', 'POSITION: G', 'OVERALL: 78']
['Marketia Kainoa', 'POSITION: RW', 'OVERALL: 78']
['Maia Antoni', 'POSITION: C', 'OVERALL: 78']
['Lashaye Lyndell', 'POSITION: C', 'OVERALL: 78']
['Kiely Jazzmon', 'POSITION: D', 'OVERALL: 78']
['Keyona Ida', 'POSITION: RW', 'OVERALL: 78']
['Keidra Kinzi', 'POSITION: RW', 'OVERALL: 78']
['Kathreen Kirbi', 'POSITION: RW', 'OVERALL: 78']
['Jenetta Rio', 'POSITION: RW', 'OVERALL: 78']
['Jaylynn Jahna', 'POSITION: G', 'OVERALL: 78']
['Gordon Sarahann', 'POSITION: G', 'OVERALL: 78']
['Geralyn Jaran', 'POSITION: G', 'OVERALL: 78']
['Edouard Shauntina', 'POSITION: G', 'OVERALL: 78']
['Crystalina Othello', 'POSITION: D', 'OVERALL: 78']
['Caraline Gretta', 'POSITION: LW', 'OVERALL: 78']
['Britton Lissette', 'POSITION: LW', 'OVERALL: 78']
['Alvita Raylynn', 'POSITION: D', 'OVERALL: 78']
['Shauntay Austyn', 'POSITION: C', 'OVERALL: 77']
['Shaneia Samuel', 'POSITION: D', 'OVERALL: 77']
['Shalaya Andromeda', 'POSITION: C', 'OVERALL: 77']
['Shainna Justyn', 'POSITION: RW', 'OVERALL: 77']
['Rivka Ivone', 'POSITION: D', 'OVERALL: 77']
['Reagan Alesa', 'POSITION: C', 'OVERALL: 77']
['Matteo Triana', 'POSITION: D', 'OVERALL: 77']
['Mariama Montrelle', 'POSITION: D', 'OVERALL: 77']
['Kylon Wilfrid', 'POSITION: LW', 'OVERALL: 77']
['Keneisha Gabrial', 'POSITION: G', 'OVERALL: 77']
['Kellyann Georgeanna', 'POSITION: C', 'OVERALL: 77']
['Judah Delfino', 'POSITION: LW', 'OVERALL: 77']
['Johnica Basilia', 'POSITION: D', 'OVERALL: 77']
['Janel Florencio', 'POSITION: LW', 'OVERALL: 77']
['Jamol Tanera', 'POSITION: D', 'OVERALL: 77']
['Isai Roxanna', 'POSITION: RW', 'OVERALL: 77']
['Immanuel Landra', 'POSITION: G', 'OVERALL: 77']
['Esmael Jilliann', 'POSITION: G', 'OVERALL: 77']
['Edith Lucresha', 'POSITION: RW', 'OVERALL: 77']
['Chelsie Lizette', 'POSITION: RW', 'OVERALL: 77']
['Britanie Chaise', 'POSITION: LW', 'OVERALL: 77']
['Antasia Eulogio', 'POSITION: D', 'OVERALL: 77']
['Nathanael Oliva', 'POSITION: RW', 'OVERALL: 76']
['Kenna Terence', 'POSITION: LW', 'OVERALL: 76']
['Kaileen Monick', 'POSITION: RW', 'OVERALL: 76']
['Jeena Tessy', 'POSITION: RW', 'OVERALL: 76']
['Declan Yaquelin', 'POSITION: C', 'OVERALL: 76']
['Debralee Akisha', 'POSITION: D', 'OVERALL: 76']
['Cleveland Judith', 'POSITION: G', 'OVERALL: 76']
['Bradd Jersey', 'POSITION: D', 'OVERALL: 76']
['Ante Lashonna', 'POSITION: RW', 'OVERALL: 76']
['Tyrik Keziah', 'POSITION: LW', 'OVERALL: 75']
['Tiffony Geoggrey', 'POSITION: RW', 'OVERALL: 75']
['Tashae Teodoro', 'POSITION: D', 'OVERALL: 75']
['Tascha Elisabel', 'POSITION: D', 'OVERALL: 75']
['Sana Karalee', 'POSITION: D', 'OVERALL: 75']
['Reko Laquista', 'POSITION: RW', 'OVERALL: 75']
['Mariadelcarmen Lamaar', 'POSITION: LW', 'OVERALL: 75']
['Jerald Tanasia', 'POSITION: RW', 'OVERALL: 75']
['Jacquetta Hattie', 'POSITION: D', 'OVERALL: 75']
['Honesty Chiante', 'POSITION: LW', 'OVERALL: 75']
['Fausto Nikkita', 'POSITION: LW', 'OVERALL: 75']
['Eunice Adan', 'POSITION: D', 'OVERALL: 75']
['Deontay Nakiesha', 'POSITION: D', 'OVERALL: 75']
['Dalal Lamonte', 'POSITION: D', 'OVERALL: 75']
['Dakesha Rasheedah', 'POSITION: RW', 'OVERALL: 75']
['Baylor Quyen', 'POSITION: C', 'OVERALL: 75']
['Arun Ahna', 'POSITION: RW', 'OVERALL: 75']
['Amberlee Rossi', 'POSITION: G', 'OVERALL: 75']
['Tyreese Sharmane', 'POSITION: RW', 'OVERALL: 74']
['Shakeem Tammi', 'POSITION: D', 'OVERALL: 74']
['Sammie Zandra', 'POSITION: D', 'OVERALL: 74']
['Rashelle Javanna', 'POSITION: D', 'OVERALL: 74']
['Randolf Liela', 'POSITION: LW', 'OVERALL: 74']
['Paloma Ashish', 'POSITION: RW', 'OVERALL: 74']
